iata,name,city,state,longitude,latitude
ABI,"Abilene, TX",Abilene,TX,-99.7384,32.4543
ADK,"Adak Island, AK",Adak Island,AK,-176.64,51.78
BQN,"Aguadilla, PR",Aguadilla,PR,-67.1536,18.4382
AKR,"Akron, OH",Akron,OH,-81.5219,41.0798
ABY,"Albany, GA",Albany,GA,-84.1762,31.5776
ALB,"Albany, NY",Albany,NY,-73.7987,42.6664
ABQ,"Albuquerque, NM",Albuquerque,NM,-106.6464,35.1053
AEX,"Alexandria, LA",Alexandria,LA,-92.4702,31.2923
ABE,"Allentown, PA",Allentown,PA,-75.4756,40.5961
AMA,"Amarillo, TX",Amarillo,TX,-101.8311,35.1988
ANC,"Anchorage, AK",Anchorage,AK,-149.1091,61.1508
ATW,"Appleton, WI",Appleton,WI,-88.3891,44.2779
AVL,"Asheville, NC",Asheville,NC,-82.5536,35.5704
BKW,"Ashland, WV",Ashland,WV,-81.3525,37.408333
ASE,"Aspen, CO",Aspen,CO,-106.8369,39.195
ATL,"Atlanta, GA",Atlanta,GA,-84.4224,33.7627
ACY,"Atlantic City, NJ",Atlantic City,NJ,-74.4527,39.3797
AGS,"Augusta, GA",Augusta,GA,-82.0708,33.3645
AUS,"Austin, TX",Austin,TX,-97.7522,30.3004
BFL,"Bakersfield, CA",Bakersfield,CA,-119.0359,35.3529
BWI,"Baltimore, MD",Baltimore,MD,-76.6144,39.3051
BGR,"Bangor, ME",Bangor,ME,-68.7906,44.8322
BRW,"Barrow, AK",Barrow,AK,-156.788611,71.290556
BTR,"Baton Rouge, LA",Baton Rouge,LA,-91.131,30.4418
BLI,"Bellingham, WA",Bellingham,WA,-122.4687,48.7543
S07,"Bend, OR",Bend,OR,-121.3087,44.0562
BET,"Bethel, AK",Bethel,AK,-161.7917,60.7928
BIL,"Billings, MT",Billings,MT,-108.5524,45.7891
BGM,"Binghamton, NY",Binghamton,NY,-75.9093,42.1014
BHM,"Birmingham, AL",Birmingham,AL,-86.7987,33.5277
BIS,"Bismarck, ND",Bismarck,ND,-100.7694,46.8144
BMI,"Bloomington, IL",Bloomington,IL,-88.9703,40.4757
BOI,"Boise, ID",Boise,ID,-116.2312,43.6007
BOS,"Boston, MA",Boston,MA,-71.0846,42.3188
BZN,"Bozeman, MT",Bozeman,MT,-111.0552,45.6832
SRQ,"Bradenton, FL",Bradenton,FL,-82.5739,27.49
SGF,"Branson, MO",Branson,MO,-93.2635,36.651
TRI,"Bristol, TN",Bristol,TN,-82.2154,36.5572
BRO,"Brownsville, TX",Brownsville,TX,-97.4565,25.998
BQK,"Brunswick, GA",Brunswick,GA,-81.474,31.145
BUF,"Buffalo, NY",Buffalo,NY,-78.8487,42.9016
BUR,"Burbank, CA",Burbank,CA,-118.3235,34.1879
BTV,"Burlington, VT",Burlington,VT,-73.2314,44.4877
BTM,"Butte, MT",Butte,MT,-112.6571,45.902
CRQ,"Carlsbad, CA",Carlsbad,CA,-117.2837,33.1247
CPR,"Casper, WY",Casper,WY,-106.3207,42.842
CDC,"Cedar City, UT",Cedar City,UT,-113.0956,37.6834
CHS,"Charleston, SC",Charleston,SC,-79.9628,32.8153
CRW,"Charleston, WV",Charleston,WV,-81.6323,38.3484
X66,"Charlotte Amalie, VI",Charlotte Amalie,VI,-64.95,18.35
CLT,"Charlotte, NC",Charlotte,NC,-80.8304,35.208
CHO,"Charlottesville, VA",Charlottesville,VA,-78.4855,38.0375
CHA,"Chattanooga, TN",Chattanooga,TN,-85.2488,35.0657
ORD,"Chicago, IL",Chicago,IL,-87.6862,41.8373
CIC,"Chico, CA",Chico,CA,-121.8152,39.7575
STX,"Christiansted, VI",Christiansted,VI,-64.75,17.75
I67,"Cincinnati, OH",Cincinnati,OH,-84.5061,39.1413
BKL,"Cleveland, OH",Cleveland,OH,-81.6804,41.4767
CLI,"Clintonville, WI",Clintonville,WI,-88.7513,44.6222
COD,"Cody, WY",Cody,WY,-109.0549,44.5212
CLL,"College Station, TX",College Station,TX,-96.296,30.5852
COS,"Colorado Springs, CO",Colorado Springs,CO,-104.7606,38.8674
CUB,"Columbia, SC",Columbia,SC,-80.9037,34.0376
CSG,"Columbus, GA",Columbus,GA,-84.8771,32.51
UBS,"Columbus, MS",Columbus,MS,-88.4096,33.5088
CMH,"Columbus, OH",Columbus,OH,-82.985,39.9862
OTH,"Coos Bay, OR",Coos Bay,OR,-124.233,43.3789
CDV,"Cordova, AK",Cordova,AK,-145.6092,60.5348
CRP,"Corpus Christi, TX",Corpus Christi,TX,-97.3755,27.726
CEC,"Crescent City, CA",Crescent City,CA,-124.1902,41.7727
DAL,"Dallas, TX",Dallas,TX,-96.7662,32.7936
DAY,"Dayton, OH",Dayton,OH,-84.1998,39.7797
