mpg,displacement,horsepower,weight,origin
18,307,130,3504,US
15,350,165,3693,US
18,318,150,3436,US
16,304,150,3433,US
17,302,140,3449,US
15,429,198,4341,US
14,454,220,4354,US
14,440,215,4312,US
14,455,225,4425,US
15,390,190,3850,US
0,133,115,3090,Europe
0,350,165,4142,US
0,351,153,4034,US
0,383,175,4166,US
0,360,175,3850,US
15,383,170,3563,US
14,340,160,3609,US
0,302,140,3353,US
15,400,150,3761,US
14,455,225,3086,US
24,113,95,2372,Japan
22,198,95,2833,US
18,199,97,2774,US
21,200,85,2587,US
27,97,88,2130,Japan
26,97,46,1835,Europe
25,110,87,2672,Europe
24,107,90,2430,Europe
25,104,95,2375,Europe
26,121,113,2234,Europe
21,199,90,2648,US
10,360,215,4615,US
10,307,200,4376,US
11,318,210,4382,US
9,304,193,4732,US
27,97,88,2130,Japan
28,140,90,2264,US
25,113,95,2228,Japan
25,98,0,2046,US
0,97,48,1978,Europe
19,232,100,2634,US
16,225,105,3439,US
17,250,100,3329,US
19,250,88,3302,US
18,232,100,3288,US
14,350,165,4209,US
14,400,175,4464,US
14,351,153,4154,US
14,318,150,4096,US
12,383,180,4955,US
13,400,170,4746,US
13,400,175,5140,US
18,258,110,2962,US
22,140,72,2408,US
19,250,100,3282,US
18,250,88,3139,US
23,122,86,2220,US
28,116,90,2123,Europe
30,79,70,2074,Europe
30,88,76,2065,Europe
31,71,65,1773,Japan
35,72,69,1613,Japan
27,97,60,1834,Europe
26,91,70,1955,US
24,113,95,2278,Japan
25,97.5,80,2126,US
23,97,54,2254,Europe
20,140,90,2408,US
21,122,86,2226,US
13,350,165,4274,US
14,400,175,4385,US
15,318,150,4135,US
14,351,153,4129,US
17,304,150,3672,US
11,429,208,4633,US
13,350,155,4502,US
12,350,160,4456,US
13,400,190,4422,US
19,70,97,2330,Japan
15,304,150,3892,US
13,307,130,4098,US
13,302,140,4294,US
14,318,150,4077,US
18,121,112,2933,Europe
22,121,76,2511,Europe
21,120,87,2979,Europe
26,96,69,2189,Europe
22,122,86,2395,US
28,97,92,2288,Japan
23,120,97,2506,Japan
28,98,80,2164,US
27,97,88,2100,Japan
13,350,175,4100,US
14,304,150,3672,US
13,350,145,3988,US
14,302,137,4042,US
15,318,150,3777,US
12,429,198,4952,US
13,400,150,4464,US
13,351,158,4363,US
14,318,150,4237,US
13,440,215,4735,US
12,455,225,4951,US
13,360,175,3821,US
18,225,105,3121,US
16,250,100,3278,US
18,232,100,2945,US
18,250,88,3021,US
23,198,95,2904,US
26,97,46,1950,Europe
11,400,150,4997,US
12,400,167,4906,US
13,360,170,4654,US
12,350,180,4499,US
18,232,100,2789,US
20,97,88,2279,Japan
21,140,72,2401,US
22,108,94,2379,Japan
18,70,90,2124,Japan
19,122,85,2310,US
21,155,107,2472,US
26,98,90,2265,Europe
15,350,145,4082,US
16,400,230,4278,US
29,68,49,1867,Europe
24,116,75,2158,Europe
20,114,91,2582,Europe
19,121,112,2868,Europe
15,318,150,3399,US
24,121,110,2660,Europe
20,156,122,2807,Japan
11,350,180,3664,US
20,198,95,3102,US
21,200,0,2875,US
19,232,100,2901,US
15,250,100,3336,US
31,79,67,1950,Japan
26,122,80,2451,US
32,71,65,1836,Japan
25,140,75,2542,US
16,250,100,3781,US
16,258,110,3632,US
18,225,105,3613,US
16,302,140,4141,US
13,350,150,4699,US
14,318,150,4457,US
14,302,140,4638,US
14,304,150,4257,US
29,98,83,2219,Europe
26,79,67,1963,Europe
26,97,78,2300,Europe
31,76,52,1649,Japan
32,83,61,2003,Japan
28,90,75,2125,US
24,90,75,2108,Europe
26,116,75,2246,Europe
24,120,97,2489,Japan
26,108,93,2391,Japan
31,79,67,2000,Europe
19,225,95,3264,US
18,250,105,3459,US
15,250,72,3432,US
15,250,72,3158,US
16,400,170,4668,US
15,350,145,4440,US
16,318,150,4498,US
14,351,148,4657,US
17,231,110,3907,US
16,250,105,3897,US
15,258,110,3730,US
18,225,95,3785,US
21,231,110,3039,US
20,262,110,3221,US
13,302,129,3169,US
29,97,75,2171,Japan
23,140,83,2639,US
20,232,100,2914,US
23,140,78,2592,US
24,134,96,2702,Japan
25,90,71,2223,Europe
24,119,97,2545,Japan
18,171,97,2984,US
29,90,70,1937,Europe
19,232,90,3211,US
23,115,95,2694,Europe
23,120,88,2957,Europe
22,121,98,2945,Europe
25,121,115,2671,Europe
33,91,53,1795,Japan
28,107,86,2464,Europe
25,116,81,2220,Europe
25,140,92,2572,US
26,98,79,2255,US
27,101,83,2202,Europe
17.5,305,140,4215,US
