origin,destination,count,number_of_carriers,carriers/0,air_time,delay,carriers/1,carriers/2,carriers/3,carriers/4,carriers/5,carriers/6,carriers/7,carriers/8
AKR,ATL,329,3,EV,86.65957447,19.78723404,FL,OH,,,,,,
ABQ,PHX,617,3,US,53.45056726,3.580226904,WN,YV,,,,,,
ANC,SEA,448,2,AS,177.4419643,7.008928571,CO,,,,,,,
ATL,BWI,501,2,DL,71.70259481,8.79241517,FL,,,,,,,
ATL,BHM,379,3,DL,30.19261214,6.353562005,EV,OH,,,,,,
ATL,BOS,473,2,DL,112.8245243,0.803382664,FL,,,,,,,
ATL,CLT,583,6,9E,40.79245283,12.0806175,DL,EV,FL,US,YV,,,
ATL,ORD,930,9,9E,87.65913978,9.12688172,AA,DL,EV,FL,MQ,OO,UA,YV
ATL,APA,415,4,DL,176.8096386,5.877108434,F9,FL,YV,,,,,
ATL,DET,388,3,9E,86.46907216,2.719072165,DL,FL,,,,,,
ATL,RDU,442,4,9E,52.66289593,4.15158371,DL,EV,FL,,,,,
ATL,FLL,683,2,DL,86.49633968,13.19619327,FL,,,,,,,
ATL,FWS,758,3,AA,119.1319261,11.42084433,DL,FL,,,,,,
ATL,FMY,378,2,DL,76.02645503,9.928571429,FL,,,,,,,
ATL,IAH,763,8,9E,112.1756225,15.59895151,CO,DL,EV,FL,OH,OO,XE,
ATL,VQQ,467,2,DL,43.07494647,7.325481799,FL,,,,,,,
ATL,MCI,354,6,9E,107.6440678,8.661016949,DL,EV,FL,OH,OO,,,
ATL,LAS,341,2,DL,249.3049853,-0.11143695,FL,,,,,,,
ATL,LAX,520,2,DL,221.7269231,3.573076923,FL,,,,,,,
ATL,MEM,395,4,9E,58.4556962,7.858227848,DL,EV,FL,,,,,
ATL,MIA,515,3,AA,86.49320388,11.33203883,DL,FL,,,,,,
ATL,MSP,456,2,DL,132.0657895,1.186403509,FL,,,,,,,
ATL,MSY,415,5,9E,74.00240964,11.04337349,DL,EV,FL,OO,,,,
ATL,JFK,911,2,DL,93.39077936,5.24478595,FL,,,,,,,
ATL,EWR,477,4,9E,92.76310273,16.09643606,CO,DL,XE,,,,,
ATL,PHF,357,3,DL,64.8767507,9.481792717,EV,FL,,,,,,
ATL,MCO,843,2,DL,61.34994069,10.39383155,FL,,,,,,,
ATL,PNS,386,4,9E,47.56994819,4.89119171,DL,EV,FL,,,,,
ATL,PHL,555,3,DL,84.40540541,8.971171171,FL,US,,,,,,
ATL,PHX,543,3,DL,158.1731123,3.368324125,FL,US,,,,,,
ATL,PIT,391,6,9E,68.53196931,3.31713555,DL,EV,FL,OH,OO,,,
ATL,RIC,373,5,9E,60.03753351,4.90080429,DL,EV,FL,OH,,,,
ATL,SAT,362,5,9E,135.2679558,13.70718232,DL,EV,FL,OO,,,,
ATL,STL,340,6,9E,77.35588235,5.832352941,DL,EV,FL,OH,OO,,,
ATL,TPA,603,2,DL,62.54726368,11.41293532,FL,,,,,,,
ATL,DCA,1047,7,9E,67.90162369,5.902578797,DL,EV,FL,OH,OO,YV,,
ATL,PBI,393,2,DL,81.50381679,9.872773537,FL,,,,,,,
AUS,FWS,455,1,AA,38.34065934,3.672527473,,,,,,,,
AUS,IAH,473,3,CO,32.28118393,4.057082452,WN,XE,,,,,,
AUS,PHX,448,3,US,90.375,6.497767857,WN,YV,,,,,,
BWI,BOS,514,3,B6,56.57976654,8.060311284,FL,WN,,,,,,
BWI,ORD,467,3,MQ,100.3768737,11.5117773,UA,WN,,,,,,
BWI,MCO,394,2,FL,116.571066,16.12944162,WN,,,,,,,
BWI,PHX,363,2,US,141.6666667,7.016528926,WN,,,,,,,
BOS,ORD,668,4,AA,138.1691617,9.898203593,B6,UA,WN,,,,,
BOS,RDU,357,3,B6,105.0308123,9.719887955,MQ,OH,,,,,,
BOS,JFK,1305,5,B6,44.55402299,4.276628352,DL,MQ,OH,US,,,,
BOS,PHL,327,1,US,63.11620795,-2.929663609,,,,,,,,
BOS,DCA,992,6,B6,72.09979839,3.231854839,MQ,OH,UA,US,YV,,,
BUF,JFK,326,2,B6,57.91717791,7.680981595,OH,,,,,,,
BUR,LAS,383,2,B6,41.63968668,1.968668407,WN,,,,,,,
BUR,OAK,403,1,WN,53.25806452,6.141439206,,,,,,,,
BUR,PHX,592,3,US,55.16891892,1.398648649,WN,YV,,,,,,
CLT,ORD,462,4,MQ,93.45670996,13.71645022,UA,US,YV,,,,,
CLT,FWS,349,2,AA,147.2922636,10.71919771,US,,,,,,,
CLT,IAH,386,3,CO,148.2046632,15.35233161,US,XE,,,,,,
CLT,JFK,446,3,B6,75.07174888,5.538116592,OH,US,,,,,,
CLT,EWR,483,4,CO,75.64389234,15.92753623,US,XE,YV,,,,,
CLT,PHX,433,1,US,147.8337182,9.046189376,,,,,,,,
CLT,DCA,448,2,US,48.01116071,5.546875,YV,,,,,,,
ORD,I67,418,4,MQ,42.36363636,14.16267943,OH,OO,UA,,,,,
ORD,BKL,590,6,MQ,47.80847458,17.89152542,OO,UA,WN,XE,YV,,,
ORD,CMH,617,4,MQ,45.61102107,20.96920583,OO,UA,WN,,,,,
ORD,APA,800,4,AA,128.51,7.5575,F9,UA,WN,,,,,
ORD,DSM,389,4,MQ,46.86632391,16.71722365,OO,UA,YV,,,,,
ORD,DET,868,9,9E,45.37442396,16.22926267,MQ,NW,OH,OO,UA,WN,XE,YV
ORD,FWS,549,3,AA,118.3296903,14.99089253,OO,UA,,,,,,
ORD,IAH,597,8,AA,140.0067002,26.17085427,CO,MQ,OO,UA,WN,XE,YV,
