origin,destination,count,number_of_carriers,carriers/0,air_time,delay,carriers/1,carriers/2,carriers/3,carriers/4,carriers/5,carriers/6,carriers/7,carriers/8
ABI,FWS,210,1,MQ,31.27619048,11.92380952,,,,,,,,
ADK,ANC,9,1,AS,105,30.44444444,,,,,,,,
BQN,JFK,77,1,B6,203.2597403,9.779220779,,,,,,,,
BQN,EWR,29,1,CO,220.0689655,-1.206896552,,,,,,,,
BQN,MCO,46,1,B6,149.826087,15.67391304,,,,,,,,
AKR,ATL,329,3,EV,86.65957447,19.78723404,FL,OH,,,,,,
AKR,BOS,31,1,FL,74.12903226,15.22580645,,,,,,,,
AKR,ORD,87,2,OO,61.50574713,21.20689655,YV,,,,,,,
AKR,APA,27,1,F9,181.4444444,4.407407407,,,,,,,,
AKR,DET,76,1,9E,34.44736842,13.77631579,,,,,,,,
AKR,FLL,17,1,FL,147.5882353,-5.882352941,,,,,,,,
AKR,FMY,31,1,FL,144.0967742,5.096774194,,,,,,,,
AKR,JFK,61,1,FL,58.21311475,4.131147541,,,,,,,,
AKR,MCO,32,1,FL,122.875,6.3125,,,,,,,,
AKR,TPA,31,1,FL,127.0645161,3.709677419,,,,,,,,
ABY,ATL,83,1,EV,34.78313253,14.22891566,,,,,,,,
ALB,ATL,87,2,EV,140.4367816,33.4137931,OH,,,,,,,
ALB,BWI,149,1,WN,57.15436242,12.5033557,,,,,,,,
ALB,CLT,62,1,US,113.1290323,8.451612903,,,,,,,,
ALB,ORD,126,3,UA,116.8968254,0.103174603,WN,YV,,,,,,
ALB,ICDV,29,1,OH,109.8275862,7.206896552,,,,,,,,
ALB,BKL,102,1,XE,75.64705882,-1.911764706,,,,,,,,
ALB,DET,138,3,9E,85.02898551,5.398550725,NW,OH,,,,,,
ALB,FLL,31,1,WN,181.1935484,-1.935483871,,,,,,,,
ALB,LAS,31,1,WN,321.483871,-10.35483871,,,,,,,,
ALB,JFK,31,1,OH,43.12903226,29.83870968,,,,,,,,
ALB,EWR,43,1,XE,31.79069767,26.51162791,,,,,,,,
ALB,MCO,92,1,WN,168.3586957,11.54347826,,,,,,,,
ALB,TPA,31,1,WN,178.7096774,14.5483871,,,,,,,,
ALB,DCA,18,1,YV,67.22222222,4.5,,,,,,,,
ABQ,ATL,87,1,DL,150.5402299,-1.390804598,,,,,,,,
ABQ,BWI,31,1,WN,189.516129,6.709677419,,,,,,,,
ABQ,ORD,124,2,MQ,132.4435484,11.05645161,WN,,,,,,,
ABQ,DAL,234,1,WN,76.92307692,3.226495726,,,,,,,,
